Name,Memory Size,CPUs
Sec_01-PROD-01 - SICCA - CentOS 7 x64,4 GB,2
Sec_01-PROD-02 - GLPI - Centos 7 x64,4 GB,1
Sec_01-PROD-03 - Web Producao - Debian 10 x64,12 GB,4
Sec_01-PROD-04 - Banco de Dados - Debian 10 x64,16 GB,8
Sec_01-PROD-05 - Web Homologacao - Debian 10 x64,2 GB,1
Sec_01-PROD-06 - App Serv - OracleLinux 8 x64,8 GB,4
Sec_01-PROD-07 - DB Serv - OracleLinux 8 x64,4 GB,2
Sec_01-PROD-08 - Load Balance - OracleLinux 8 x64,4 GB,2
Sec_01-PROD-09 - App Prod - OracleLinux 8 x64,12 GB,4
Sec_01-PROD-11 - Samba - Debian 12,4 GB,2
Sec_02-HML-01 - Treinamento - Windows 2003 32 Bits,3 GB,4
Sec_02-PROD-01 - ALCompras II - Windows 2003 32 Bits,3 GB,2
Sec_02-PROD-03 - Database - Oracle Linux 6.3 64 Bits,8 GB,8
Sec_03-DEV-01 - XVIA-DEV-CENTRAL,4 GB,2
Sec_03-DEV-02 - XVIA-DEV-CA,4 GB,2
Sec_03-DEV-03 - XVIA-DEV-SS-GERENCIA,4 GB,2
Sec_03-DEV-04 - REDIS-DEV,4 GB,2
Sec_03-DEV-05 - XVIA-DEV-SS-ITEC,4 GB,2
Sec_03-DEV-06 - XVIA-DEV-SS-SEPLAG,4 GB,2
Sec_03-DEV-07 - XVIA-DEV-SQL - Windows Server 2012 x64 Bits,15 GB,4
Sec_03-DEV-08 - XVIA-DEV-POSTGRESQL,16 GB,2
Sec_03-DEV-09 - XVIA-DEV-SS-SESAU,4 GB,2
Sec_03-DEV-10 - XVIA-DEV-SS-SEDUC,4 GB,2
Sec_03-K8S-01 - CP 1,8 GB,4
Sec_03-K8S-02 - WORKER 01,12 GB,4
Sec_03-K8S-03 - WORKER 02,12 GB,4
Sec_03-K8S-04 - Docker,8 GB,2
Sec_04-PROD-03 - Bacula - Debian11 x64,4 GB,2
Sec_04-PROD-05 - Monitoramento - Debian 11 x64,4 GB,2
Sec_04-PROD-06 - App Web - Ubuntu 22.04 LTS,4 GB,2
Sec_04-PROD-07 - Ominichannel - Debian 12,8 GB,4
Sec_05-PROD-01 - SIGA - Ubuntu 16.04 LTS,4 GB,4
Sec_05-PROD-02 - MySQL - Debian 12,4 GB,2
Sec_06-PROD-02 - Commvalt Server - Windows 2012,32 GB,8
Sec_07-PROD-01 - FGTS  Firebird 2.5 - Windows Server 2003 32 Bits,4 GB,3
Sec_08-HML-01 - Banco Oracle 11g - Oracle Linux 7.1 x64,8 GB,2
Sec_08-HML-02 - Worker Node 2 - Debian 11,2 GB,2
Sec_08-HML-03 - Apps Novo - Ubuntu 18 LTS,8 GB,2
Sec_08-PROD-01 - UranoApp - Debian11 x64,8 GB,2
Sec_08-PROD-03 - Web Service - Ubuntu 16.04 x64,4 GB,2
Sec_08-PROD-04 - Cluster Docker - Debian 11 x64,8 GB,2
Sec_08-PROD-05 - RockerChat - Debian 12,16 GB,6
Sec_08-PROD-06 AD - Windows Server 2012 Standart R1,6 GB,4
Sec_08-PROD-07 - Banco Oracle 11g - Oracle Linux 7.1 x64,8 GB,2
Sec_08-PROD-08 - Gestao Estrategica - Debian 10 x64,4 GB,2
Sec_08-PROD-09 - Cluster Docker - Debian 11,4 GB,2
Sec_08-PROD-10 - PostgreSQL - Debian 12 x64,8 GB,2
Sec_09-HML-01 - ESIG - CentOS 7,6 GB,4
Sec_09-HML-02 - OCR - Windows 2012,8 GB,4
Sec_09-PROD-03 - Banco de Dados 01 - PostgreSQL - CentOS 7 x64,6 GB,4
Sec_09-PROD-04 - Banco de Dados 02 - PostgreSQL - CentOS 7 x64,6 GB,4
Sec_09-PROD-06 - Servidor de Aplicação 02 - CentOS 7 x64,4 GB,4
Sec_09-PROD-07 - Servidor de Aplicação 01 - CentOS 7 x64,4 GB,4
Sec_09-PROD-08 - Balanceador - CentOS 7 x64,2 GB,4
Sec_09-PROD-09 - Nginx - Debian x64,8 GB,8
Sec_09-PROD-10 - Impresa Oficial - Debian 9.4 x64,4 GB,2
Sec_10-PROD-01 - Controle de Dados - Ubuntu-14.04.2 x64,8 GB,4
Sec_10-PROD-02 - Despesa Pública - CentOS 6.8 x64,4 GB,4
Sec_10-PROD-03 - Banco de Denuncias - Ubuntu 14.04 LTS x64,1 GB,1
Sec_10-PROD-05 - Intranet - Debian 9 x64,4 GB,4
Sec_10-PROD-06 - DB PostgreSQL 14,4 GB,2
Sec_10-PROD-07 - RocketChat,8 GB,4
Sec_10-PROD-08 - Painel de Gestão - Ubuntu 22.04 LTS x64,8 GB,2
Sec_11-HML-04 - Backup - Slackware 13.37,2 GB,2
Sec_11-HML-05 - Vistoria DES - Ubuntu 10.04 LTS x64,4 GB,2
Sec_11-HML-08 - Servidor de Aplicacao - Ubuntu 12.04 Server x64,2 GB,1
Sec_11-HML-11 - Portal de Servicos - Django - Debian 8.4 x64,4 GB,4
Sec_11-HML-12 - Portal de Servicos - PostgreSQL 9.4 - Debian 8.4 x64,8 GB,2
Sec_11-HML-13- E-talonario 01 - Debian 8.4 x64,4 GB,4
Sec_11-HML-14 - E-talonario 02 - Debian 8.4 x64,2 GB,2
Sec_11-HML-15 - E-talonario 03 - Debian 8.4 x64,2 GB,2
Sec_11-HML-16 - E-talonario 04 - Debian 8.4 x64,2 GB,2
Sec_11-PROD-03 - CentOS - Safenet 1 - Sec_11,3 GB,2
Sec_11-PROD-04 - FTP - CentOS 5.3 x32,1 GB,2
Sec_11-PROD-05 - GCOMICOM - CentOS x5.3 x32,1 GB,2
Sec_11-PROD-10 - APPLINX - RedHat 5.5 x32,2 GB,2
Sec_11-PROD-11 - NITGEN Bi - Windows 2003 32 Bits,3 GB,2
Sec_11-PROD-14 - QWARE - Windows XP,2 GB,1
Sec_11-PROD-15 - Servidor VPN - PFSense,2 GB,2
Sec_11-PROD-16 - Vistoria PROD - Ubuntu 10.04 LTS x32,4 GB,2
Sec_11-PROD-19 - Ubuntu 12.04 DKT 32 Bits - GCOMICOM2 - Sec_11 - 10.50.10.60,4 GB,1
Sec_11-PROD-20 - Arquivos 01 - Windows 2008 R2 STD,3 GB,2
Sec_11-PROD-22 - Arquivos 02 - Windows 2008 R2 STD,3 GB,2
Sec_11-PROD-28 - Comunicação base do SNG - CentOS 7 x32,4 GB,2
Sec_11-PROD-29 - Ubuntu 12.04 Server 64 Bits - Servidor de aplicação,4 GB,1
Sec_11-PROD-30 - WEBPRD02 - Ubuntu 14.04 64 Bits,4 GB,2
Sec_11-PROD-31 - WEBSERVICES - Ubuntu 14.04 64Bits,12 GB,8
Sec_11-PROD-32 - Servidor Apache - Ubuntu 14.10 Server 64 bits,4 GB,4
Sec_11-PROD-33 - Servidor de Aplicação - Ubuntu 14.04 Server 64 bits,4 GB,2
Sec_11-PROD-34 - Dominio - Windows 2012 x64 Bits,2 GB,2
Sec_11-PROD-35 - Zabbix Proxy - Debian 8 x64,6 GB,4
Sec_11-PROD-36 - Zabbix Proxy - Debian 9 x64,4 GB,2
Sec_11-PROD-37 - Servidor de Aplicacao - Debian 8.2 32 Bits,4 GB,2
Sec_11-PROD-38 - Certificação Digital - Debian 8.4 64 Bits,8 GB,4
Sec_11-PROD-39 - Servidor de Aplicação - Debian 8.1 x64,4 GB,4
Sec_11-PROD-40 - Intranet - Portal de Serviços - Debian 8.4 x64,4 GB,4
Sec_11-PROD-41 - Site - Portal de Serviços - Debian 8.4 x64,4 GB,6
Sec_11-PROD-42 - PostgreSQL9.4 - Portal de Serviços - Debian8.4 x64,8 GB,2
Sec_11-PROD-43 - Q-Ware - Windows 2012 R2 STD,4 GB,2
Sec_11-PROD-44 - Balanceamento 01 - Debian 8.4 x64,4 GB,8
Sec_11-PROD-45 - Balanceamento 02 - Debian 8.4 x64,4 GB,8
Sec_11-PROD-46 - API - Debian 8.4 x64,4 GB,4
Sec_11-PROD-47 - CONTRATOS - Debian 8.4 x64,4 GB,4
Sec_11-PROD-48 - Portal de Servicos - Django - Debian 8.4 x64,4 GB,2
Sec_11-PROD-49 - Servidor de Impressao - Debian 8.4 x64,4 GB,2
Sec_11-PROD-50 - Relatorios e Guias - Portal de Servicos - Debian 8.4 x64,4 GB,4
Sec_11-PROD-51 - Balanceamento de Carga - Debian 8.4 x64,4 GB,4
Sec_11-PROD-52 - Servidor Jboss - Debian 8.4 x64,16 GB,4
Sec_11-PROD-53 - BD Etalonario - Debian 8.4 x64,8 GB,4
Sec_11-PROD-54 - JBOSS - Debian 8.4 x64,16 GB,4
Sec_11-PROD-57 - Servidor de Aplicação - Debian 8.1 x64,4 GB,4
Sec_11-PROD-59 - DPVAT Windows Server 2016 x64,4 GB,2
Sec_11-PROD-60 - Eclinicas FrontEnd - Debian 8.4 x64,4 GB,2
Sec_11-PROD-61 - EMVIA - Windows Server 2016 x64 STD,4 GB,2
Sec_11-PROD-62 - Relatórios e Guias - Debian 8.4 x64,4 GB,4
Sec_11-PROD-63 - Balanceamento 03 - Debian 8.4 x64,4 GB,8
Sec_11-PROD-64 - API - Debian 8.4 x64,4 GB,4
Sec_11-PROD-65 - Balanceamento - Debian 10.1 x64,4 GB,4
Sec_11-PROD-66 - SRV10AP02 Envia - Windows 2008 R2 x64,4 GB,4
Sec_11-PROD-67 - SUSPENSAO-01  Debian 8 x64,2 GB,2
Sec_11-PROD-68 - Zabbix Proxy - CentOS 8,4 GB,2
Sec_11-PROD-69 - Backup Corporativo - CentOS 8,4 GB,4
Sec_11-PROD-70 -  Servidor Aplicacao - CentOS 8,8 GB,4
Sec_11-PROD-71 - Relatórios e Guias,4 GB,4
Sec_11-PROD-72 - VPN - FW - pfSense,2 GB,2
Sec_11-PROD-73 - Wordpress,4 GB,4
Sec_11-PROD-74 - Balanceamento 01,4 GB,8
Sec_11-PROD-79 - Wordpress - Debian 11,4 GB,4
Sec_11-PROD-80 - Servidor de Aplicacao - Debian 11,4 GB,4
Sec_11-PROD-81 -Postgresql - Debian 11,4 GB,4
Sec_11-PROD-82 - WEB-INTRANET - Debian11,4 GB,4
Sec_11-PROD-83 - API - Debian11,4 GB,4
Sec_11-PROD-84 - Wordpress - Debian11 x64,4 GB,2
Sec_11-PROD-85 - Wordpress II - Debian 11 x64,4 GB,2
Sec_11-PROD-86 - FTPs Server - Debian 12 X64,4 GB,2
Sec_11-PROD-87 - Servidor Aplicação - Debian 12 x64,4 GB,4
Sec_11-PROD-88 - API - Debian 8.4 x64,4 GB,4
Sec_12-PROD-01 - SIIG - Windows 2003 32bits,2 GB,2
Sec_12-PROD-02 - PgSQL - Debian 6 32 Bits,2 GB,2
Sec_12-PROD-04 - SigePro - Debian 7 x64,8 GB,8
Sec_12-PROD-05 - Content Manager BD - CentOS 7.0,6 GB,2
Sec_12-PROD-06 - Content Manager APP - Debian 7.8 x64,6 GB,2
Sec_12-PROD-07 - Moodle - Debian 7 x64,3 GB,4
Sec_12-PROD-08 - Moodle App - Debian 7.8 x64,4 GB,4
Sec_12-PROD-09 - Moodle - Debian 12,4 GB,4
Sec_12-PROD-10 - GLPI - Ubuntu 22.04 LTS,4 GB,2
Sec_12-PROD-11 - Intranet - Debian 8.4 x64,4 GB,2
Sec_12-PROD-12 - Matricula 2019 - Ubuntu 22.04 LTS,4 GB,4
Sec_12-PROD-14 - Escola 10 - Apache e MySQL - Ubuntu 22.04 LTS,4 GB,4
Sec_12-PROD-15 - Apache Hadoop - Ubuntu 22.04.2 Linux LTS,23 GB,12
Sec_12-PROD-16 - SigePro2 - Ubuntu 22.04 LTS,4 GB,4
Sec_12-PROD-17 - Aplicação Web - Ubuntu 22.04,8 GB,4
Sec_12-PROD-19 - Moodle App - Debian 11,4 GB,2
Sec_12-PROD-20 - Banco MySQL 8 - Oracle Linux 8,8 GB,2
Sec_12-PROD-21 - Moodle App - Debian 11,4 GB,2
Sec_12-PROD-22 - Escola Web - Debian 11,4 GB,2
Sec_12-PROD-23 - Escola 10 - Debian 12 X64,4 GB,2
Sec_12-PROD-24 - BD Escola 10 - Ubuntu 22.04 LTS,4 GB,4
Sec_12-PROD-25 - Vem Que dá Tempo - Apache-MySQL - Ubuntu 22.04 LTS,4 GB,4
Sec_12-PROD-26 - WebServer - Ubuntu 24.04 LTS,7 GB,6
Sec_13-PROD-01 - BI - MySQL 5.7 - CentOs 7 x64,16 GB,4
Sec_13-PROD-02 - APP-DESENV - CentOS 7x64,20 GB,2
Sec_13-PROD-03 - APP-INTEGRACAO - CentOS 7x64,16 GB,2
Sec_13-PROD-04 - APP-FTP - CentOS 7 x64,2 GB,2
Sec_13-PROD-05 - APP-PRODUCAO - CentOS 7 x64,28 GB,2
Sec_13-PROD-06 - NGINX - CentOS 7 x64,4 GB,2
Sec_14-PROD-01 - PostgreSQL - Debian6 32 Bits,2 GB,2
Sec_14-PROD-02 - PostgreSQL - Debian 6.0.1 32,2 GB,2
Sec_14-PROD-03 - LDAP- Debian 6.0.1 32,4 GB,4
Sec_14-PROD-06 - Apache Novo - Debian 7 x64,8 GB,4
Sec_15-PROD-01 - NS3 - Ubuntu 20.04 LTS x64,8 GB,4
Sec_15-PROD-02 - NS4 - Ubuntu 20.04 LTS x64,8 GB,4
Sec_16-HML-01 - Web03 - Windows 2008,12 GB,4
Sec_16-PROD-03 - PDC - Windows 2008,12 GB,4
Sec_16-PROD-10 - Windows 2012 STD,16 GB,4
Sec_16-PROD-12-WEB01-WINDOWS 2012 R2 x64,32 GB,8
Sec_16-PROD-13-WEB02-WINDOWS 2012 R2 x64,8 GB,4
Sec_16-PROD-14-DB02-WINDOWS 2012 R2 x64,12 GB,4
Sec_16-PROD-15-WEB03-WINDOWS 2012 R2 x64,12 GB,4
Sec_16-PROD-16-WEB04-WINDOWS 2012 R2 x64,8 GB,4
Sec_16-PROD-17 - Web - Windows Server 2022 x64,12 GB,4
Sec_16-PROD-18 - Web - Windows Server 2022 x64,32 GB,4
Sec_17-HML-01 - Oracle Linux 8 - MySQL 8,8 GB,2
Sec_17-HML-02 - App 10 - Debian 11,12 GB,6
Sec_18-PROD-01 - WebServer - Debian 6 x32,2 GB,2
Sec_19-PROD-01 - IMA CAR - Windows 2008 R2 STD - Origem,4 GB,4
Sec_19-PROD-02 -BOLETOS  - Ubuntu 14.04 LTS x64,4 GB,2
Sec_19-PROD-03 - BOLETOS - Ubuntu 14.04 x64,4 GB,2
Sec_20-PROD-01 - Windows 2003 32 Bits Standard - Integra Apache I - SEGESP,2 GB,4
Sec_20-PROD-02 - Windows 2003 32 Bits Standard - Integra Apache II - SEGESP,2 GB,4
Sec_20-PROD-03 - Windows 2008 R2 64 - AD-INTEGRA - SEGESP,2 GB,2
Sec_20-PROD-04 - Windows 2008 R2 64 - APPEXT - SEGESP,8 GB,8
Sec_20-PROD-07 - Windows 2008 R2 64 - PORTAL01 - SEGESP,16 GB,8
Sec_20-PROD-08 - Windows 2008 R2 64 - PORTAL02 - SEGESP,16 GB,8
Sec_20-PROD-09 - Windows 2008 R2 64 - PROCESSO01 - SEGESP,16 GB,8
Sec_20-PROD-10 - Windows 2008 R2 64 - PROCESSO02 - SEGESP,16 GB,8
Sec_20-PROD-11 - Windows 2008 R2 64 - RELRH - SEGESP,8 GB,8
Sec_20-PROD-12 - Windows 2008 R2 64 - RH01 - SEGESP,8 GB,8
Sec_20-PROD-13 - Windows 2008 R2 64 - RH02 - SEGESP,8 GB,8
Sec_20-PROD-19 - BD01 - Windows 2008 R2 64,32 GB,12
Sec_21-HML-02 - HOMOLOGA BD - Debian 8.1 x64,8 GB,2
Sec_21-PROD-01 - Windows 2008 R2 STD x64,8 GB,2
Sec_21-PROD-02 - Windows 2008 R2 STD 64,12 GB,2
Sec_21-PROD-04 - Aplicação - Debian 8.1 x64,8 GB,2
Sec_21-PROD-05 - Banco de Dados - Debian 8.1 x64,8 GB,2
Sec_21-PROD-06 - WebSrvMySQLPHP - Debian 9.4 x64,6 GB,2
Sec_21-PROD-07 - Pentaho - Windows Server 2008 x64,4 GB,2
Sec_21-PROD-08 - Licenças - Windows Server 2022 x64,4 GB,2
Sec_22-ACRONIS-01 - CS1,16 GB,2
Sec_22-ACRONIS-02 - CS1,16 GB,2
Sec_22-ACRONIS-03 - CS2,12 GB,2
Sec_22-ACRONIS-04 - GER,16 GB,2
Sec_22-HML-03 - VOIP,8 GB,2
Sec_22-HML-04 - Alagoas na palma da mão,4 GB,1
Sec_22-HML-07 - Testes SvnDTI - Slackware 12.1 32 Bits - Origem,4 GB,2
Sec_22-HML-08 - MIT - Debian11 x64,4 GB,1
Sec_22-HML-10 - SICC e Frotas - Slackware 13.1 64,4 GB,2
Sec_22-HML-11 - HML Sistemas - PostgreSQL - Debian 7 64 Bits,6 GB,2
Sec_22-HML-15 - AD - Windows 2008 R,4 GB,4
Sec_22-HML-16 - SUAP - NGINX - Debian 11 x64,4 GB,2
Sec_22-HML-17 - PostgreSQL - Debian 7 x64,8 GB,4
Sec_22-HML-18 - SIMBA 2018 - Windows 2012 STD,8 GB,2
Sec_22-HML-19 - SIMBA 2018 - Windows 2012 STD,8 GB,2
Sec_22-HML-20 - VOIPMONITOR - Debian11 x64,8 GB,2
Sec_22-HML-21 - Kuma-Monitor - Debian 11 x64,4 GB,4
Sec_22-HML-31 - Django 1.8 - Debian 8.1 64 Bits,4 GB,2
Sec_22-HML-33- WebServer HML-DES-SEFAZ - Debian 8.1 x64,3 GB,4
Sec_22-HML-45 - Transparencia HML - Oracle Linux 6.3 64 Bits,12 GB,8
Sec_22-HML-46 - Acolhe Alagoas Dev - Ubuntu 14.04 x64,4 GB,2
Sec_22-HML-57 - Dados Pericia - Windows Server 2012 x64  - SQL Server 2012,8 GB,2
Sec_22-HML-58 - Django III - Slackware 13.1 64 Bits,6 GB,4
Sec_22-HML-59 - Graylog ElasticSearch - Debian 11,4 GB,2
Sec_22-HML-60 - DB Postgres 12,8 GB,1
Sec_22-HML-61 - Joomla - Debian11 - x86,4 GB,1
Sec_22-HML-62 - Netbox - Ubuntu 22.04 x64,4 GB,2
Sec_22-HML-63 - Zabbix para testes de integração - x64,4 GB,1
Sec_22-HML-66 - SGP - Debian 12 x64,4 GB,1
Sec_22-HML-67 - OpenProject - Debian 12 x64,4 GB,2
Sec_22-HML-68 - WebServer2 - Debian 11.1 x64,16 GB,2
Sec_22-HML-69 - SISTEMAS - Debian 11,32 GB,6
Sec_22-HML-70 - Oracle Linux 8 -  ETL/Restore,20 GB,4
